"Rows from: TestRun","Company Name","domain","LinkedIn Company URL Linkedin Company Url","Employee Count","Percent Employee Growth Over Last_6Months","Product Features","Pricing Plan Summary Result","Industry","Description","Sales Contact Email Sales Contact","Enterprise Sales Rep LinkedIn URL Linkedin Profile Url"
,"Confluent","confluent.io","https://www.linkedin.com/company/confluent",3616,8.52,"Confluent's Data Streaming Platform, built on Apache Kafka and Apache Flink, offers core capabilities including streaming, connecting, processing, and governing data in real-time. Key features include a 10x Apache Kafka service (Kora Engine), over 120 pre-built connectors, in-flight stream processing with serverless Apache Flink, and enterprise-grade security and governance features. Additional technologies include KRaft Mode, CSFLE, ksqlDB, Confluent Control Center, Tiered Storage, Self-Balancing Kafka Clusters, Cluster Linking, REST Proxy, and Non-Java Clients. It supports use cases like AI, Event-Driven Microservices, and Hybrid & Multicloud strategies.","I was unable to retrieve the specific pricing plan details for Confluent from their available webpage data. No detailed pricing information was accessible regarding the names, key offerings, or costs of each plan.","Software Development","Confluent is pioneering a fundamentally new category of data infrastructure focused on data in motion.  Our cloud-native offering is the foundational platform for data in motion --- designed to be the intelligent connective tissue enabling real-time data, from multiple sources, to constantly stream across the organization.  With Confluent, our customers can meet the new business imperative of delivering rich, digital customer experiences and real-time business operations.  Our mission is to help every organization harness data in motion so they can compete and thrive in the modern world.","info@confluent.io","https://www.linkedin.com/in/greg-grimes-49aa44b"
,"Airtable","airtable.com","https://www.linkedin.com/company/airtable",915,13.12,"Airtable is an AI-native app platform that allows users to build custom, AI-powered applications. Its core features include: AI App Building (no-code), AI Agents for tasks like web research, Portals for external collaboration, HyperDB for massive datasets (up to 100 million records), Automations for streamlining workflows, Relational databases to connect data, Customizable Interfaces (drag-and-drop), Reporting and analytics tools, Multiple data views (Grid, Kanban, Calendar, Gantt, Form), Governance and security features, and embedded Airtable AI. Key Use Cases include Project Management, Content Planning, CRM, Inventory Tracking, Event Planning, Product Development, HR, Sales, and Finance. The target audience is over 500,000 organizations, including 80% of the Fortune 100, with a strong presence in small businesses. It serves both technical and non-technical users. Standout Features include relational database functionality (spreadsheet simplicity with database power), high customization, real-time collaboration, extensive integrations (over 67 tools), a library of templates, and advanced AI capabilities.","- Free Plan: 1,000 records per base, 1 GB of attachments, 100 automation runs, up to 5 editors, $0.
- Team Plan: Gantt, Timeline, and Calendar views; 50,000 records per base, 20 GB of attachments, 25,000 automation runs/month, $20/user/month (billed annually).
- Business Plan: Premium integrations, 125,000 records per base, 100 GB attachments, 100,000 automation runs/month, $45/user/month (billed annually).
- Enterprise Scale Plan: HyperDB, Enterprise Hub, 500,000+ records per base, 1 TB of attachments, 500,000 automation runs/month, Contact sales for pricing.","Software Development","Airtable is the no-code app platform that empowers people closest to the work to accelerate their most critical business processes. We believe in the transformative power of equipping anyone to build the software applications they wish existed – regardless of their technical skill. 

That’s why more than 500,000 organizations, including 80% of the Fortune 100, rely on Airtable for collaborative work management and citizen development to transform how work gets done.  The result?  Faster innovation, happier customers, enterprise governance, and a modern work experience for teams and departments. 

We’re hiring! Visit airtable.com/careers to learn more.","https://www.airtable.com/contact-sales","https://www.linkedin.com/in/jenny-mitchell-"
,"Clay","clay.com","https://www.linkedin.com/company/grow-with-clay",779,,"Clay is an AI-powered platform designed for go-to-market (GTM) teams. Its core features include: Data Enrichment & Management: Access to over 100 data sources, multi-provider data enrichment (Waterfall Enrichment), CRM enrichment and hygiene, real-time data scraping, and AI-driven data cleaning and formatting. AI Capabilities: AI research agents for automating tasks like summarizing documents and lead scoring, an AI formula generator for custom code, and AI-powered copywriting for personalized outreach. Workflow Automation & GTM Solutions: Flexible workflows for automating growth use cases, inbound lead enrichment and scoring, automated outbound processes (building, enriching, scoring, messaging), targeted list building, account and lead scoring, custom signals (job changes, funding news), and integrations with various tools (CRM, email sequencers, etc.). It offers solutions for RevOps, Sales, and Growth Marketing teams, with use cases like TAM sourcing, inbound lead routing, intent-based outreach, and AI-powered outbound campaigns. Clay's target audience is GTM teams of all sizes, including enterprise, SMBs, startups, and outbound agencies. Users include GTM leaders, GTM operations teams, SDRs, growth leads, and founders. Key differentiators include consolidating the GTM stack, an intuitive spreadsheet-like interface, access to unique data, and automation of manual research.","The pricing page at Clay.com does not contain any detailed information about their pricing plans. No specific plans, key offerings, or costs are listed on the current pages available for scraping (https://clay.com and https://clay.com/pricing).","Software Development"," The creative tool for growth | Go to market with unique data - and the ability to act on it","https://www.clay.com/contact-form","https://www.linkedin.com/in/clay-fleming"
,"Segment (Twilio)","segment.com","https://www.linkedin.com/company/segment-io",306,-23.59,"Segment (Twilio) is a customer data platform (CDP) that helps businesses collect, clean, and activate customer data. Its core product features include:

*   **Connections:** Integrates web and mobile app data via a single API, with features like Warehouses for data transformation, Reverse ETL to move data to applications, Functions for pipeline customization, and a Developer Toolkit.
*   **Protocols:** Focuses on data quality and integrity, including a Protocols Product Overview and a Privacy Portal.
*   **Unify:** Unifies customer data across channels, with features such as Unify Overview and Profiles Sync to move customer profiles to the warehouse.
*   **Twilio Engage:** A platform for building personalized customer experiences, featuring Audiences for building dynamic profiles and Journeys for orchestrating cross-channel customer journeys.
*   **Customer Data Platform (CDP):** Offers a CDP Overview for collecting real-time data from any channel for a unified view.
*   **AI Solutions:** Includes Predictive AI for predicting customer behavior and Generative AI for creating targeted audiences and personalized campaigns. These AI features are now generally available.","I attempted multiple methods to retrieve the pricing plans from Segment.com, including visiting their pricing pages and a Google search. Unfortunately, I could not extract or access detailed pricing plan options, names, key offerings, or specific costs. There might be a technical issue with accessing the required information via scraping tools from their web pages or specific access restrictions.","Technology, Information and Internet","Segment is a customer data platform (CDP) that helps companies harness first-party customer data. Our platform democratizes access to reliable data for all teams and offers a complete toolkit to standardize data collection, unify user records, and route customer data into any system where it’s needed. More than 20,000 companies like Intuit, FOX, Instacart, and Levi’s use Segment to make real-time decisions, accelerate growth, and deliver compelling user experiences.","https://segment.com/demo/","https://www.linkedin.com/in/kylematthewsmith"
,"Carta","carta.com","https://www.linkedin.com/company/carta--",1946,-2.41,"Carta offers an end-to-end suite for managing private capital, with core features divided into fund management and equity management. Equity Management Features include Cap Table Management, 409a Valuations, Scenario Modeling, Total Comp, Employee Equity Understanding, and IPO Readiness. Fund Management Features include Portfolio Management, Fund Administration, LP Communications, Deal Closings, and Distributions. Carta provides solutions for Startups, Private Equity, Venture Capital, and LLCs. Additional Products/Services include IPO Advisory, Portfolio Insights, Waterfall Modeling, Distributions, and Scenario Modeling. Carta is trusted by over 50,000 companies and manages over $3 trillion in assets.","- Launch, cap table management, fundraising benchmarks, SAFE financings, Free for new customers with up to 25 stakeholders and up to $1M raised.
- Build, everything in Launch, white glove onboarding, premier support, Pricing not specified.
- Grow, everything in Build, 409A valuations, 83(b) form, Pricing not specified.
- Scale, everything in Grow, GAAP Financial Reporting (ASC-718), IFRS Financial Reporting, Pricing not specified.","Software Development","Through a connected ecosystem of tools, Carta links together the key players in private equity and venture — from investors and LPs to their portfolio companies.

Carta’s world-class fund administration platform supports nearly 7,000 funds and SPVs, and represents nearly $130B in assets under management.

Trusted by more than 40,000 companies, Carta helps private businesses in over 160 countries manage their cap tables, valuations, taxes, equity programs, compensation, and more. 

Today, Carta is setting a new standard as the end-to-end platform connecting private capital. Our fund management platform seamlessly integrates a suite of tools and insights purpose-built to support the strategic impact of the fund CFO.

Carta has been included on the Fortune Best Large Workplaces in Financial Services and Insurance list, Forbes’ list of the World's Best Cloud Companies, Fast Company's Most Innovative list, and Inc.'s Fastest-Growing Private Companies list. For more information, visit carta.com.","sales@carta.com","https://www.linkedin.com/in/annacentrella"
,"Dropbox","dropbox.com","https://www.linkedin.com/company/dropbox",3705,-0.47,"Dropbox offers a suite of products and features designed to simplify work, scale productivity, and enhance collaboration and security. Key features include:

**Core Dropbox Product:**
*   **File Storage and Access:** Securely store, access, and organize files from any device, with automatic syncing across all devices.
*   **File Sharing:** Easily share files and folders with anyone via links, with options for password protection, expiring links, and download permissions.
*   **File Syncing:** Keep projects and files in sync across devices and team members, with features like Smart Sync to save disk space.
*   **File Backup and Recovery:** Automatic backup of important folders and the ability to recover previous versions of files or restore deleted data.
*   **Content Collaboration:** Tools for real-time collaboration, including annotating files, task management, and video feedback.
*   **Productivity Tools:** PDF editing, document scanning, and electronic signatures (Dropbox Sign).
*   **Security:** Robust security features including two-factor authentication (2FA), end-to-end encryption (E2EE) for team folders, user and device management, and compliance with various standards.

**Dropbox Dash:**
*   **Universal Search:** An AI-powered search tool that finds content across connected apps, emails, and more, supporting various content types.
*   **AI Writing Tools:** Capabilities for summarizing documents, generating drafts, and analyzing content.
*   **People Search:** Helps identify subject matter experts within an organization.
*   **Integrations:** Connects with essential apps like Slack, Microsoft Teams, Canva, Jira, and Google Workspace.
*   **Security Controls:** Advanced controls for IT admins to manage access permissions.

**Other Dropbox Products/Features:**
*   **Dropbox Replay:** For faster video review and approval.
*   **DocSend:** Secure document sharing with access controls and viewer analytics.
*   **Dropbox Sign:** For requesting and adding legally-binding eSignatures.
*   **Dropbox Transfer:** For sending large files securely.

**User Feedback Highlights:**
*   **Pros:** Ease of use, reliable performance, strong third-party integrations, seamless file syncing, effective file sharing, secure data storage, good for collaboration, intuitive interface.
*   **Cons:** Limited free storage, can be expensive, occasional syncing issues, limited in-app document editing, some confusion with folder permission settings.

**Recent Updates (Spring 2025 Release):**
*   Enhanced Dropbox Dash with advanced video and image search, AI writing tools, and deeper integrations.
*   Streamlined admin experience with a unified console.
*   Simplified 2FA setup.
*   New features in Dropbox Replay.","- Basic Plan, 2 GB to store and share files, Free
- Plus Plan, 1 user, 2 TB of storage, 30 days to restore deleted files, Transfer files up to 50 GB, Edit PDFs and get eSignatures, $9.99 / month
- Professional Plan, 1 user, 3 TB of storage, 180 days to restore deleted files, Transfer files up to 100 GB, Edit PDFs and get eSignatures, Brand your files to share, Password protect files, $16.58 / month
- Standard Plan, 3+ users, 5 TB of storage for the team, 180 days to restore deleted files, Transfer files up to 100 GB, Edit PDFs and get eSignatures, Brand your files to share, Password protect files, Team folders for organization, Manage team sharing, Create groups and roles, Admin control, $15 / user / month
- Advanced Plan, 3+ users, Starts at 15 TB for the team, 1 year to restore deleted files, Transfer files up to 100 GB, Edit PDFs and get eSignatures, Brand your files to share, Password protect files, Team folders for organization, Manage team sharing, Create groups and roles, Tiered-admin management, End-to-end encryption, Advanced key management, Compliance tracking, Single sign-on, $24 / user / month
- Enterprise, Customization with enterprise-grade security, integrations with security solutions, and dedicated live support, Contact for pricing","Software Development","Dropbox is the one place to keep life organized and keep work moving. With more than 700 million registered users across 180 countries, we're on a mission to design a more enlightened way of working. 

To learn more about working at Dropbox, visit jobs.dropbox.com

We also have a few simple guidelines to keep this space respectful and productive. Please avoid:
- Harassing other people or using language that’s hateful, offensive, vulgar, or advocates violence
- Trolling, fraud and spamming
- Violating someone else’s rights or privacy
- Advertising or soliciting donations
- Link baiting 
- Posting off topic comments or thread hijacking

We may remove comments that violate these guidelines.","https://www.dropbox.com/contact-sales","https://www.linkedin.com/in/jacobbrett"
,"OpenAI","openai.com","https://www.linkedin.com/company/openai",5527,12.84,"OpenAI's core offerings include advanced AI models and tools. Their flagship products and features are:

*   **Models and APIs:** GPT-4o and GPT-4.1 series, o-series models (o1, o3, o4-mini), Image Generation (GPT Image 1 and DALL-E 3), Code Interpreter, File Search, Text-to-Speech (TTS) models like TTS-1 and GPT-4o mini TTS, Transcription models like Whisper and GPT-4o Transcribe, Embeddings, and Moderation.
*   **Key Products and Features:** ChatGPT, Sora, API Platform (including Responses API), and Deep Research.
*   **Target Audience and Use Cases:** Developers, Businesses, and General Users.","- **Free Plan**, Access to GPT-4.1 mini, real-time data, and code edits, **$0/month**.
- **Plus Plan**, Extended limits, voice mode, access to advanced features and models, **$20/month**.
- **Pro Plan**, Unlimited access to models and advanced voice, **$200/month**.
- **Team Plan**, Dedicated workspace, GDPR compliance, unlimited model access, **$25/user/month annually or $30/user/month monthly**.
- **Enterprise Plan**, Expanded features with enterprise-level security and support, **custom pricing**.

API Pricing Options:
- **GPT-4.1**, Input $2.00/1M tokens, Output $8.00/1M tokens.
- **GPT-4.1 mini**, Input $0.40/1M tokens, Output $1.60/1M tokens.
- **GPT-4.1 nano**, Input $0.10/1M tokens, Output $0.40/1M tokens.
- **OpenAI o3**, Input $2.00/1M tokens, Output $8.00/1M tokens.
- **OpenAI o4-mini**, Input $1.10/1M tokens, Output $4.40/1M tokens.

Fine-Tuning Pricing Options:
- **GPT-4.1 Fine-tuning**, Input $3.00/1M tokens, Training $25.00/1M tokens.
- **GPT-4.1 mini Fine-tuning**, Input $0.80/1M tokens, Training $5.00/1M tokens.
- **GPT-4.1 nano Fine-tuning**, Input $0.20/1M tokens, Training $1.50/1M tokens.
- **o4-mini Reinforcement Fine-tuning**, Input $4.00/1M tokens, Training $100/hour.","Research Services","OpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. AI is an extremely powerful tool that must be created with safety and human needs at its core. OpenAI is dedicated to putting that alignment of interests first — ahead of profit.

To achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity. Our investment in diversity, equity, and inclusion is ongoing, executed through a wide range of initiatives, and championed and supported by leadership.

At OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology.","sales@openai.com","https://www.linkedin.com/in/aliisa-rosenthal"
,"DocuSign","docusign.com","https://www.linkedin.com/company/docusign",8138,3.92,"DocuSign's core product is its eSignature platform, which facilitates electronic document signing and agreement management. Key features include:

Document Preparation & Sending: Templates, web forms, document generation, support for various file types, bulk sending, and payment processing.

Signing Experience: Remote/in-person mobile signing, responsive signing, mobile apps, SMS/WhatsApp delivery, accessibility features, branding customization, and comments.

Signer Identification & Authentication: Email-based, access code, SMS, federated identity, phone, knowledge-based, and ID verification.

Reporting & Compliance: Real-time status updates, customizable reports, data export, legal admissibility, digital signatures, tamper-sealed documents, audit trails, and compliance with industry regulations (FedRAMP, HIPAA, 21 CFR Part 11).

Archiving & Document Retention: Secure archiving, document retention policies, authoritative copy maintenance, and agreement actions.

Platform Features: High availability (99.99% uptime), robust security (AES 256-bit encryption, ISO 27001, FedRAMP, PCI DSS), multi-language support, and extensive administration controls.

Intelligent Agreement Management (IAM): Leverages AI for data extraction, agreement analysis, and workflow automation.

User reviews highlight ease of use, efficiency, and reliability, while noting potential concerns with pricing and UI complexity for new users. Recent announcements include Notary On-Demand and AI contract agents.","- Personal Plan, 5 envelopes per month and 900+ integrations, $10/month ($120 billed annually)
- Standard Plan, All Personal features plus 100 envelopes/user/year and shareable templates, $25/month per user ($300 billed annually)
- Business Pro Plan, All Standard features plus payment collection and auto-calculation, $40/month per user ($480 billed annually)
- Additional options, Pay-As-You-Go and features like SMS delivery and Identity Verification, Contact sales","Software Development","Docusign brings agreements to life. Over 1.5 million customers and more than a billion people in over 180 countries use Docusign solutions to accelerate the process of doing business and simplify people’s lives. With intelligent agreement management, Docusign unleashes business critical data that is trapped inside of documents. Until now, these were disconnected from business systems of record, costing businesses time, money, and opportunity. Using Docusign IAM, companies can create, commit, and manage agreements with solutions created by the #1 company in e-signature and contract lifecycle management (CLM).","https://www.docusign.com/contact-sales","https://www.linkedin.com/in/waynephillipsdirectorsales"
,"Slack (Salesforce)","slack.com","https://www.linkedin.com/company/tiny-spec-inc",3291,-3.16,"Slack is a communication and collaboration platform designed as the 'operating system for your entire workday.' Its core features include:

*   **Collaboration and Communication:** Channels for organized conversations, Slack Connect for secure external collaboration, Huddles for instant audio and video calls, Direct Messaging for private conversations, Threads for focused discussions, and real-time Messaging with formatting and file sharing.
*   **Productivity and Automation:** Workflow Builder for automating tasks, Apps and Integrations with over 2,600 third-party applications, Canvas as a digital whiteboard, Lists for project management, File Sharing, and Enterprise Search across connected apps.
*   **Intelligence and AI:** Slack AI features like channel and thread summaries, daily recaps, file summaries, AI-powered search, and Agentforce for analyzing customer data.

Slack targets businesses of all sizes and offers specific solutions for Sales, Customer Service, and Tech departments. Key differentiators include its unified platform, enterprise-grade security, AI integration, extensive app ecosystem, and Slack Connect for secure external collaboration.","- Free Plan, 90-day access to message history, limited features for external communication and integrations, $0.
- Pro Plan, Unlimited message history, advanced communication and integrations features, $7.25 per person/month annually or $8.75 monthly.
- Business+ Plan, Enhanced with Slack AI features, $15 per person/month annually or $18 monthly.
- Enterprise Grid, Customizable security, compliance features, and AI integrations, pricing tailored per requirement.","Technology, Information and Internet","Slack is on a mission to make people's working lives simpler, more pleasant and more productive. It is the productivity platform for customer companies that improves performance by empowering everyone with no-code automation, making search and knowledge sharing seamless, and keeping teams connected and engaged as they move work forward together. As part of Salesforce, Slack is deeply integrated into the Salesforce Customer 360, supercharging productivity across sales, service and marketing teams. To learn more and get started with Slack for free, visit slack.com or connect with us @SlackHQ.

Ensuring a diverse and inclusive workplace where we learn from each other is core to Slack’s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.

Come do the best work of your life here at Slack.","https://slack.com/contact-sales","https://www.linkedin.com/in/agrdonovan"
,"Miro","miro.com","https://www.linkedin.com/company/mirohq",2789,-3.35,"Miro is an AI-powered visual workspace designed to bring teams together for collaboration and faster decision-making. Its key features include an Intelligent Canvas for ideation and iteration, AI Tools (Miro Assist) for automating tasks like diagram generation and content creation, Apps & Integrations for connecting with tools like Jira and Slack, Diagramming and Process Mapping tools, an Enterprise Platform with robust security and administration, Collaboration Features for real-time and asynchronous work, and over 300 customizable Templates. Miro serves a broad user base across UX/Design, Marketing, Sales, Product Management, and Engineering, with over 90 million global users.","- Free Plan, 3 editable boards and basic collaboration features, $0
- Starter Plan, Unlimited and private boards with basic collaboration but lacks advanced security, $8/month/member
- Business Plan, Advanced collaboration and security features with Jira integration, $16/month/member
- Enterprise Plan, Top security and support with flexible licensing, Custom pricing","Software Development","Miro is an innovation workspace designed for teams of every size, everywhere, to dream, design, and build the future together. Our mission? To empower these teams to create the next big thing, powered by AI at every step of the way. 

Over 80 million users around the world rely on Miro to untangle complex ideas, put customer needs first, and deliver products and services faster. All supported by best-in-class security, compliance, and scalability.","sales@miro.com","https://www.linkedin.com/in/brunocampuzano"
,"Snowflake","snowflake.com","https://www.linkedin.com/company/snowflake-computing",9645,8.77,"Snowflake's core product is its AI Data Cloud, a unified platform offering data engineering, analytics, AI, applications, and collaboration. Key features include a fully managed, cross-cloud architecture with independent compute and storage scaling. Functionalities encompass data engineering, fast analytics, AI/ML model creation, secure data sharing, and robust security/governance. It supports standard SQL, various programming languages, and offers tools like Snowsight GUI and SnowSQL CLI. Users praise its ease of use and scalability but note potential high costs.","- Standard Edition, Complete SQL data warehouse, secure data sharing, up to 1 day of time travel, premier support 24x365, encryption, federated authentication, SOC 2 Type II certification, OAuth support, MFA, database replication and disaster recovery, $2.00 per use.
- Enterprise Edition, Includes all Standard features, multi-cluster warehouses, up to 90 days time travel, advanced security, annual rekeying, audit user access history, materialized views, search optimization service, $3.00 per use.
- Business Critical, Includes all Enterprise features, HIPAA and PCI DSS compliance, Tri-Secret Secure, private endpoints for AWS, Azure, Google Cloud, failover/failback features, support for public sector workloads, $4.00 per use.
- Virtual Private Snowflake (VPS), Includes all Business Critical features, customer-dedicated virtual servers and metadata store, 24-hour early access to new releases, specialized offerings for isolated, private configurations, pricing on demand.","Software Development","Snowflake delivers the AI Data Cloud — a global network where thousands of organizations mobilize data with near-unlimited scale, concurrency, and performance. Inside the AI Data Cloud, organizations unite their siloed data, easily discover and securely share governed data, and execute diverse analytic workloads. Wherever data or users live, Snowflake delivers a single and seamless experience across multiple public clouds. Snowflake’s platform is the engine that powers and provides access to the AI Data Cloud, creating a solution for data warehousing, data lakes, data engineering, data science, data application development, and data sharing. Join Snowflake customers, partners, and data providers already taking their businesses to new frontiers in the AI Data Cloud.","https://www.snowflake.com/en/contact-sales/","https://www.linkedin.com/in/jrsnowflake"
,"Twilio","twilio.com","https://www.linkedin.com/company/twilio-inc-",6442,1.14,"Twilio offers a Customer Engagement Platform with core product categories including Communications, Customer Data, Authentication, Conversational AI, and Builder Tools. Key features include:

**Communications:** Messaging APIs (SMS, WhatsApp, etc.), Twilio SendGrid Email API, Voice API, Phone Numbers (toll-free, short codes), Twilio Flex (digital engagement center), Twilio Video, Marketing Campaigns, Event Streams, and Trust Hub (SHAKEN/STIR, CNAM).

**Customer Data:** Twilio Segment Connections, Twilio Protocols, Twilio Unify, Twilio Engage, and Twilio Privacy Portal for managing and utilizing first-party data.

**Authentication:** Verify API (OTP delivery) and Lookup (phone number validation).

**Conversational AI:** ConversationRelay and Conversational Intelligence for AI-powered interactions and analysis.

**Builder Tools:** Serverless, Studio (drag-and-drop workflow builder), and Functions for developing communication applications.

Third-party reviews highlight Twilio's flexibility, developer-friendliness, extensive documentation, and scalability, while noting potential concerns about pricing and customer support responsiveness.","- Twilio Programmable Voice, Voice APIs start at $0.0085/min to receive and $0.014/min to make a call.
- Twilio Video API, Starts at $0.004/min to receive or make a video call.
- Twilio Elastic SIP Trunking, Starts at $0.0045/min for origination and $0.007/min for termination.
- Twilio Engage, Pricing is customized based on needs.
- Twilio Conversations API, Starts at $0.05 per active user per month.
- Twilio Studio, Starts at $0.001 per flow execution.
- Twilio Flex, Start with 5,000 hours free, then $1/active user hour or $150/named user per month.
- Twilio Segment CDP, Starts at $120/month for up to 10k visitors/month. Try free for 14 days.
- Twilio SendGrid Email API, Start for free with 100 emails/day; paid plans start at $19.95/month.
- Twilio SendGrid Marketing Campaigns, Start for free with 6,000 emails/month; paid plans start at $15/month.
- SMS, Starts at $0.0083 to send or receive a message.
- WhatsApp Business API, Starts at $0.005 to send or receive a WhatsApp message with prices varying by use case.
- Twilio Voice Intelligence, Starts at $0.0350/min for transcription and $0.0050/min for language operators.
- Twilio TaskRouter, First 100 tasks/month are free, then $0.06/task.
- Twilio Serverless, Start with free access to tools, then $0.0001 per request or invocation.
- Twilio Functions, Start with 10,000 free invocations, then $0.0001 per invocation.
- Twilio Sync, Start with 200 endpoint-hours free, then $0.0025/hour.
- Twilio for Salesforce, Start with a 30-day free trial, then $15 per seat per month.","Software Development","Today's leading companies trust Twilio's Customer Engagement Platform (CEP) to build direct, personalized relationships with their customers everywhere in the world. Twilio enables companies to use communications and data to add intelligence and security to every step of the customer journey, from sales to marketing to growth, customer service and many more engagement use cases in a flexible, programmatic way. Across 180 countries, millions of developers and hundreds of thousands of businesses use Twilio to create magical experiences for their customers.","https://www.twilio.com/en-us/help/sales","https://www.linkedin.com/in/lopez0325"
,"HubSpot","hubspot.com","https://www.linkedin.com/company/hubspot",10903,-1.35,"HubSpot offers an integrated customer platform powered by AI, encompassing marketing, sales, customer service, content management, and operations. Its core product hubs include Marketing Hub, Sales Hub, Service Hub, Content Hub, Operations Hub, and Commerce Hub. Key standout features across the platform include Breeze AI, Smart CRM, a user-friendly interface, integrations, and customer support. Customer reviews highlight HubSpot's effectiveness in lead generation, deal closing, and customer service efficiency.","- Standard Pricing, Marketing and Sales with Operations and Service software, $20/month per seat ($15/month per seat with annual commitment and upfront payment).
- Promotional Pricing, Marketing Automation with lead generation and nurturing, $9/month per seat for first year (limited time offer, annual commitment) then $15/month per seat.
- Month-to-Month, All same features as above with no annual commitment, $15/month per seat first year, $20/month per seat after.","Software Development","HubSpot is a leading CRM platform that provides software and support to help businesses grow better. Our platform includes marketing, sales, service, and website management products that start free and scale to meet our customers’ needs at any stage of growth. Today, thousands of customers around the world use our powerful and easy-to-use tools and integrations to attract, engage, and delight customers.

HubSpot's award-winning culture has been recognized by Glassdoor, Great Place to Work, Comparably, Fortune, Entrepreneur, Inc., and more. We build connections, careers, and employee growth by creating a workplace that values flexibility, autonomy, and transparency. You can learn more about our commitment to creating an inclusive and diverse workplace in the HubSpot Culture Code.

HubSpot is a hybrid company with employees working fully remotely, from an office, or a mix of the two. We are headquartered in Cambridge, MA with offices in Amsterdam, Berlin, Bogota, Dublin, Ghent, London, Madrid, Paris, San Francisco, Singapore, Sydney, Tokyo and Toronto. 

To learn more about HubSpot, visit www.hubspot.com and to join our team, visit www.hubspot.com/careers","https://offers.hubspot.com/contact-sales","https://au.linkedin.com/in/lauren-shaw-22387758"
,"Zendesk","zendesk.com","https://www.linkedin.com/company/zendesk",7215,9.91,"Zendesk offers a customer service solution powered by AI, designed to simplify customer interactions across various channels. Its core features include:

*   **Unified Customer Service Platform:** Ticketing system, multi-channel support, AI-powered agents, and omnichannel resolutions.
*   **Self-Service & Knowledge Management:** Knowledge base and AI for knowledge.
*   **Automation & Efficiency:** Automation, workflows, and macros, and SLA management.
*   **Data & Analytics:** Analytics and dashboards, and Zendesk Explore.
*   **Customization & Integration:** Customization, integrations, and APIs and SDKs.
*   **Employee Service:** Employee service solution.","- Suite Team, Omnichannel support, self-service, ticketing system, AI agents, prebuilt analytics, 1,000+ apps & integrations, macros, triggers & automations, online support, onboarding resources, workforce and quality assurance add-ons eligible, $55 per agent/month billed annually
- Suite Growth, All features of Suite Team, plus multiple ticket forms, light agents, SLA, CSAT, multilingual support, self-service portal, business hours, $89 per agent/month billed annually
- Suite Professional, All features of Suite Growth, plus custom analytics, live analytics, side conversations, skills-based routing, community forums, data location options, HIPAA enabled, Sunshine Conversations, Advanced AI add-on eligible, $115 per agent/month billed annually
- Suite Enterprise, All features of Suite Professional, plus customized service, real-time analytics, sandbox, content blocks, custom agent roles, dynamic workspaces, Advanced Data Privacy and Protection add-on eligible, $169 per agent/month billed annually
- Sell Team, Customizable sales pipeline, up to 2 pipelines, email and calendar integrations, task and appointment management, call tracking and recording, pre-built sales dashboards, robust APIs, $19 per agent/month billed annually
- Sell Growth, Customizable sales pipeline, up to 10 pipelines, product and price book, advanced and custom sales reports, sales forecasting and goals tracking, prospecting and enrichment credits, $55 per agent/month billed annually
- Sell Professional, Customizable sales pipeline, up to 20 pipelines, lead and deal scoring, task automation, advanced roles and permissions, company hierarchy, $115 per agent/month billed annually
- Sell Enterprise, Unlimited pipelines and sequences, tailored to business needs with added customization, starting at $169 per user/month billed annually","Software Development","Zendesk started the customer experience revolution in 2007 by enabling any business around the world to take their customer service online. Today, Zendesk is the champion of great service everywhere for everyone, and powers billions of conversations, connecting more than 100,000 brands with hundreds of millions of customers over telephony, chat, email, messaging, social channels, communities, review sites and help centers. Zendesk products are built with love to be loved. The company was conceived in Copenhagen, Denmark, built and grown in California, taken public in New York City, and today employs more than 4,000 people across the world.","https://www.zendesk.com/contact/","linkedin.com/in/will-oliveira-18091b2b"
